subject	model_label	fit_response	smoothed	spherical_noise	separate_sigmas	n	fisher_information	condition
2	15	False	True	True	False	39.0	0.06182772	wide
2	15	False	True	True	False	40.0	0.061450202	wide
2	15	False	True	True	True	10.0	0.4050822	narrow
2	15	False	True	True	True	11.0	0.16466202	narrow
2	15	False	True	True	True	12.0	0.103433006	narrow
2	15	False	True	True	True	13.0	0.0952341	narrow
2	15	False	True	True	True	14.0	0.046858083	narrow
2	15	False	True	True	True	15.0	0.05344478	narrow
2	15	False	True	True	True	16.0	0.07536792	narrow
2	15	False	True	True	True	17.0	0.09744605	narrow
2	15	False	True	True	True	18.0	0.11640944	narrow
2	15	False	True	True	True	19.0	0.13135482	narrow
2	15	False	True	True	True	20.0	0.14244501	narrow
2	15	False	True	True	True	21.0	0.1504932	narrow
2	15	False	True	True	True	22.0	0.15670039	narrow
2	15	False	True	True	True	23.0	0.16242196	narrow
2	15	False	True	True	True	24.0	0.16890223	narrow
2	15	False	True	True	True	25.0	0.17697495	narrow
2	15	False	True	True	True	10.0	0.43523479	wide
2	15	False	True	True	True	11.0	0.33148277	wide
2	15	False	True	True	True	12.0	0.19984937	wide
2	15	False	True	True	True	13.0	0.094711475	wide
2	15	False	True	True	True	14.0	0.09726989	wide
2	15	False	True	True	True	15.0	0.06642253	wide
2	15	False	True	True	True	16.0	0.033249546	wide
2	15	False	True	True	True	17.0	0.023797495	wide
2	15	False	True	True	True	18.0	0.02550834	wide
2	15	False	True	True	True	19.0	0.030556547	wide
2	15	False	True	True	True	20.0	0.03653582	wide
2	15	False	True	True	True	21.0	0.042500693	wide
2	15	False	True	True	True	22.0	0.047955267	wide
2	15	False	True	True	True	23.0	0.05264294	wide
2	15	False	True	True	True	24.0	0.05645823	wide
2	15	False	True	True	True	25.0	0.059390362	wide
2	15	False	True	True	True	26.0	0.061485723	wide
2	15	False	True	True	True	27.0	0.062823154	wide
2	15	False	True	True	True	28.0	0.06349783	wide
2	15	False	True	True	True	29.0	0.06361168	wide
2	15	False	True	True	True	30.0	0.06326775	wide
2	15	False	True	True	True	31.0	0.06256678	wide
2	15	False	True	True	True	32.0	0.061605994	wide
2	15	False	True	True	True	33.0	0.060478143	wide
2	15	False	True	True	True	34.0	0.05927087	wide
2	15	False	True	True	True	35.0	0.058065955	wide
2	15	False	True	True	True	36.0	0.056937683	wide
2	15	False	True	True	True	37.0	0.05595115	wide
2	15	False	True	True	True	38.0	0.05515971	wide
2	15	False	True	True	True	39.0	0.054602508	wide
2	15	False	True	True	True	40.0	0.054302163	wide
2	15	False	True	True	True	10.0	0.54866743	narrow
2	15	False	True	True	True	11.0	0.224131	narrow
2	15	False	True	True	True	12.0	0.14407988	narrow
2	15	False	True	True	True	13.0	0.13433577	narrow
2	15	False	True	True	True	14.0	0.06600702	narrow
2	15	False	True	True	True	15.0	0.073630944	narrow
2	15	False	True	True	True	16.0	0.10234432	narrow
2	15	False	True	True	True	17.0	0.13126585	narrow
2	15	False	True	True	True	18.0	0.1560212	narrow
2	15	False	True	True	True	19.0	0.17542255	narrow
2	15	False	True	True	True	20.0	0.1896865	narrow
2	15	False	True	True	True	21.0	0.19987896	narrow
2	15	False	True	True	True	22.0	0.2075697	narrow
2	15	False	True	True	True	23.0	0.21452992	narrow
2	15	False	True	True	True	24.0	0.22239009	narrow
2	15	False	True	True	True	25.0	0.23225446	narrow
2	15	False	True	True	True	10.0	0.57936686	wide
2	15	False	True	True	True	11.0	0.44641852	wide
2	15	False	True	True	True	12.0	0.26990575	wide
2	15	False	True	True	True	13.0	0.12745889	wide
2	15	False	True	True	True	14.0	0.13393651	wide
2	15	False	True	True	True	15.0	0.09219724	wide
2	15	False	True	True	True	16.0	0.046302084	wide
2	15	False	True	True	True	17.0	0.033102248	wide
2	15	False	True	True	True	18.0	0.03521604	wide
2	15	False	True	True	True	19.0	0.04182496	wide
2	15	False	True	True	True	20.0	0.04965833	wide
2	15	False	True	True	True	21.0	0.057458125	wide
2	15	False	True	True	True	22.0	0.064571604	wide
2	15	False	True	True	True	23.0	0.07066392	wide
2	15	False	True	True	True	24.0	0.07559988	wide
2	15	False	True	True	True	25.0	0.079368785	wide
2	15	False	True	True	True	26.0	0.08203452	wide
2	15	False	True	True	True	27.0	0.083703	wide
2	15	False	True	True	True	28.0	0.08450073	wide
2	15	False	True	True	True	29.0	0.08456247	wide
2	15	False	True	True	True	30.0	0.08402384	wide
2	15	False	True	True	True	31.0	0.08301694	wide
2	15	False	True	True	True	32.0	0.0816689	wide
2	15	False	True	True	True	33.0	0.080100685	wide
2	15	False	True	True	True	34.0	0.07842647	wide
2	15	False	True	True	True	35.0	0.07675267	wide
2	15	False	True	True	True	36.0	0.07517595	wide
2	15	False	True	True	True	37.0	0.07378108	wide
2	15	False	True	True	True	38.0	0.07263776	wide
2	15	False	True	True	True	39.0	0.07179732	wide
